merchant_id,total_transactions,total_revenue,avg_transaction,refund_count,failed_transactions
22,7,60.58,8.654285714285715,0,0
23,1,44.13,44.13,0,0
57,3,97.60000000000001,32.53333333333334,0,1
91,1,85.51,85.51,0,0
100,7,453.57,64.79571428571428,0,0
104,1,4.54,4.54,0,0
106,6,73.11,12.185,0,0
118,1,32.21,32.21,0,0
122,1,37.45,37.45,0,0
144,2,17.7,8.85,0,1
146,1,119.88,119.88,0,0
157,1,87.58,87.58,0,0
176,1,27.88,27.88,0,0
178,1,3.67,3.67,0,0
209,1,141.58,141.58,0,0
212,3,107.18,35.72666666666667,0,1
216,2,106.44999999999999,53.224999999999994,0,0
219,1,2.15,2.15,0,0
246,2,16.79,8.395,0,0
256,1,90.42,90.42,0,0
274,5,205.61,41.122,0,0
283,1,86.97,86.97,0,0
302,1,30.63,30.63,0,0
317,11,237.67,21.606363636363636,0,0
320,1,39.09,39.09,0,0
323,1,2.64,2.64,0,0
329,1,116.65,116.65,0,0
349,2,175.14999999999998,87.57499999999999,0,0
358,1,69.19,69.19,0,0
369,1,2.46,2.46,0,0
422,2,170.98000000000002,85.49000000000001,0,0
427,2,94.69,47.345,0,0
432,4,303.85,75.9625,0,0
436,2,58.49,29.245,0,0
451,1,11.79,11.79,0,0
455,1,18.83,18.83,0,0
463,3,339.82,113.27333333333333,0,0
464,4,134.48000000000002,33.620000000000005,0,0
467,2,309.17,154.585,0,0
481,2,45.940000000000005,22.970000000000002,0,0
483,2,45.18,22.59,0,0
510,1,118.51,118.51,0,0
524,3,138.79000000000002,46.26333333333334,0,0
565,2,34.28,17.14,0,0
569,2,142.64000000000001,71.32000000000001,0,0
602,2,95.61999999999999,47.809999999999995,0,0
603,1,34.95,34.95,0,0
607,1,97.56,97.56,0,1
620,3,151.9,50.63333333333333,0,0
635,5,125.12,25.024,0,0
638,1,0.99,0.99,0,0
640,1,33.77,33.77,0,0
644,4,33.21,8.3025,0,0
646,1,12.05,12.05,0,0
710,2,12.959999999999999,6.4799999999999995,0,0
726,47,5371.07,114.27808510638297,0,3
734,1,185.26,185.26,0,0
738,1,18.29,18.29,0,0
762,1,96.31,96.31,0,0
770,3,80.11,26.703333333333333,0,0
779,1,15.77,15.77,0,0
796,7,442.23,63.175714285714285,0,0
804,3,270.71,90.23666666666666,0,0
807,3,57.25,19.083333333333332,0,0
819,1,17.01,17.01,0,0
846,1,73.33,73.33,0,0
847,8,121.09,15.13625,0,0
851,2,6.3500000000000005,3.1750000000000003,0,0
930,1,64.02,64.02,0,0
956,1,25.39,25.39,0,0
986,1,28.58,28.58,0,0
1017,1,39.27,39.27,0,0
1018,1,207.24,207.24,0,0
1022,1,147.72,147.72,0,0
1039,1,38.57,38.57,0,0
1046,2,64.37,32.185,0,0
1048,6,150.19,25.031666666666666,0,0
1051,2,25.560000000000002,12.780000000000001,0,0
1098,3,24.46,8.153333333333334,0,0
1100,1,64.09,64.09,0,0
1102,3,464.9,154.96666666666667,0,0
1108,3,34.34,11.446666666666667,0,0
1128,2,21.549999999999997,10.774999999999999,0,0
1152,1,51.58,51.58,0,0
1159,1,22.48,22.48,0,0
1187,1,181.66,181.66,0,0
1200,1,21.11,21.11,0,0
1218,3,503.17999999999995,167.72666666666666,0,0
1238,33,948.06,28.729090909090907,0,1
1240,2,15.51,7.755,0,0
1244,1,61.37,61.37,0,0
1273,1,90.95,90.95,0,0
1283,1,13.36,13.36,0,0
1286,1,95.01,95.01,0,0
1296,4,490.75,122.6875,0,0
1298,2,14.0,7.0,0,0
1336,1,2.52,2.52,0,0
1338,1,37.65,37.65,0,0
1344,2,48.7,24.35,0,0
1359,1,29.93,29.93,0,0
1361,1,16.36,16.36,0,1
1364,2,54.02,27.01,0,0
1385,1,24.23,24.23,0,0
1399,2,116.25999999999999,58.129999999999995,0,0
1408,1,61.05,61.05,0,0
1426,1,101.8,101.8,0,0
1447,1,82.97,82.97,0,0
1453,1,117.87,117.87,0,0
1463,1,39.19,39.19,0,0
1495,1,25.38,25.38,0,0
1509,2,27.42,13.71,0,0
1518,1,110.36,110.36,0,0
1553,1,11.31,11.31,0,0
1554,2,25.48,12.74,0,0
1580,1,1.65,1.65,0,0
1605,1,14.41,14.41,0,0
1615,1,15.18,15.18,0,0
1629,1,316.0,316.0,0,0
1631,7,191.1,27.3,0,0
1639,2,18.98,9.49,0,0
1642,1,74.58,74.58,0,0
1668,2,0.08,0.04,0,0
1704,1,41.08,41.08,0,0
1710,6,53.739999999999995,8.956666666666665,0,0
1722,1,2.37,2.37,0,0
1726,1,181.28,181.28,0,0
1739,1,8.65,8.65,0,0
1743,4,137.81,34.4525,0,0
1754,2,24.25,12.125,0,0
1770,4,89.33,22.3325,0,0
1782,1,47.55,47.55,0,0
1800,1,10.99,10.99,0,0
1827,6,1026.84,171.14,0,0
1841,3,77.55,25.849999999999998,0,0
1842,1,25.68,25.68,0,0
1846,1,158.38,158.38,0,0
1858,1,31.13,31.13,0,0
1859,2,64.04,32.02,0,0
1891,1,26.37,26.37,0,0
1897,2,173.01,86.505,0,0
1898,1,45.07,45.07,0,0
1903,2,3.16,1.58,0,0
1911,2,254.82,127.41,0,0
1967,5,220.41,44.082,0,0
1980,2,78.50999999999999,39.254999999999995,0,0
1982,1,30.46,30.46,0,0
2003,3,175.58,58.52666666666667,0,0
2007,2,22.259999999999998,11.129999999999999,0,0
2026,3,93.99,31.33,0,0
2035,1,29.44,29.44,0,0
2038,1,29.39,29.39,0,0
2046,1,4.31,4.31,0,0
2066,1,17.35,17.35,0,0
2085,6,90.44,15.073333333333332,0,0
2086,1,7.46,7.46,0,0
2091,1,5.4,5.4,0,0
2121,5,104.12,20.824,0,0
2124,1,2.63,2.63,0,0
2135,2,49.5,24.75,0,0
2149,1,141.29,141.29,0,0
2156,1,295.27,295.27,0,1
2162,1,186.83,186.83,0,0
2172,1,20.03,20.03,0,0
2177,91,3148.89,34.60318681318681,0,0
2205,7,71.37,10.195714285714287,0,0
2211,1,8.77,8.77,0,0
2233,1,6.6,6.6,0,0
2240,1,21.77,21.77,0,0
2241,2,20.05,10.025,0,0
2309,5,60.0,12.0,0,0
2313,2,342.26,171.13,0,0
2314,3,279.53999999999996,93.17999999999999,0,0
2319,1,42.53,42.53,0,0
2329,2,36.87,18.435,0,0
2344,2,77.92999999999999,38.964999999999996,0,0
2358,3,39.54,13.18,0,0
2363,3,159.57,53.19,0,0
2366,1,27.2,27.2,0,0
2397,1,58.99,58.99,0,1
2402,3,33.07,11.023333333333333,0,0
2411,1,-346.0,-346.0,1,0
2414,3,123.55,41.18333333333333,0,0
2415,1,12.86,12.86,0,0
2427,1,29.07,29.07,0,0
2431,1,162.48,162.48,0,0
2491,2,22.450000000000003,11.225000000000001,0,0
2554,1,52.26,52.26,0,0
2556,1,12.29,12.29,0,0
2579,1,80.73,80.73,0,0
