year,month,total_transactions,total_spend,avg_transaction,refunds,failed_transactions
2010,1,369,16288.24,44.14157181571816,15,5
2010,2,352,15567.6,44.226136363636364,18,6
2010,3,397,17843.79,44.946574307304786,24,3
2010,4,387,13923.92,35.979121447028426,24,7
2010,5,390,18839.66,48.306820512820515,23,5
2010,6,383,17317.26,45.21477806788511,22,7
2010,7,369,13495.09,36.57205962059621,20,9
2010,8,382,16497.53,43.18725130890052,22,5
2010,9,390,21391.94,54.851128205128205,22,5
2010,10,412,16762.86,40.68655339805825,26,10
2010,11,405,18366.83,45.3501975308642,19,11
2010,12,397,16603.78,41.82312342569269,16,8
2011,1,428,17508.33,40.907313084112154,21,11
2011,2,401,17436.34,43.48214463840399,22,4
2011,3,385,16382.46,42.55184415584415,17,8
2011,4,409,18437.74,45.080048899755504,23,10
2011,5,426,19495.62,45.764366197183094,19,9
2011,6,421,19522.4,46.37149643705464,24,4
2011,7,466,22147.94,47.52776824034334,16,9
2011,8,416,16960.35,40.770072115384615,12,6
2011,9,383,18751.27,48.95892950391645,23,2
2011,10,389,13405.14,34.46051413881748,23,6
2011,11,397,16100.39,40.55513853904282,20,2
2011,12,416,17547.46,42.18139423076923,27,3
2012,1,450,22782.15,50.627,28,8
2012,2,383,17500.0,45.69190600522193,16,5
2012,3,420,18941.21,45.09811904761904,22,7
2012,4,410,20156.83,49.163000000000004,16,6
2012,5,395,15184.55,38.441898734177215,16,6
2012,6,398,15312.89,38.47459798994975,20,5
2012,7,411,18023.49,43.85277372262774,20,11
2012,8,400,16780.24,41.9506,19,5
2012,9,413,18168.88,43.992445520581114,18,8
2012,10,411,14672.6,35.69975669099757,30,9
2012,11,429,16648.04,38.80662004662005,18,4
2012,12,416,18440.81,44.3288701923077,21,6
2013,1,451,20194.36,44.77685144124169,22,7
2013,2,380,15673.94,41.24721052631579,18,5
2013,3,446,20934.41,46.93813901345291,18,5
2013,4,412,19113.39,46.391723300970874,19,4
2013,5,420,20755.48,49.417809523809524,16,4
2013,6,417,15309.04,36.71232613908873,22,6
2013,7,445,21960.47,49.34937078651686,14,9
2013,8,419,17737.91,42.333914081145586,17,5
2013,9,430,18922.32,44.00539534883721,13,5
2013,10,419,17931.54,42.79603818615752,24,4
2013,11,388,17299.67,44.58677835051546,25,9
2013,12,468,20007.92,42.75196581196581,27,4
2014,1,448,17580.48,39.24214285714286,21,9
2014,2,404,17645.08,43.67594059405941,11,6
2014,3,455,18223.11,40.05079120879121,23,11
2014,4,459,19780.1,43.093899782135075,17,9
2014,5,387,16904.2,43.68010335917313,16,7
2014,6,406,17866.65,44.00652709359606,20,7
2014,7,448,20646.08,46.085,22,7
2014,8,444,19081.05,42.975337837837834,24,10
2014,9,445,20766.47,46.66622471910112,22,10
2014,10,430,18118.82,42.13679069767442,24,9
2014,11,403,19827.05,49.198635235732006,17,8
2014,12,434,19179.73,44.1929262672811,22,4
2015,1,448,18108.48,40.42071428571428,19,5
2015,2,394,18601.79,47.212664974619294,14,6
2015,3,431,19953.52,46.29587006960557,21,8
2015,4,413,17868.32,43.264697336561746,17,7
2015,5,468,22599.7,48.289957264957266,28,5
2015,6,473,17881.88,37.80524312896406,23,9
2015,7,454,15862.74,34.93995594713656,23,7
2015,8,431,19579.39,45.42781902552204,19,4
2015,9,417,17691.81,42.426402877697846,27,4
2015,10,419,16717.44,39.898424821002386,24,8
2015,11,407,17242.85,42.36572481572481,16,6
2015,12,436,18253.06,41.86481651376147,23,7
2016,1,463,17688.63,38.20438444924406,23,9
2016,2,390,15382.06,39.44117948717948,27,3
2016,3,466,19754.44,42.39150214592274,23,4
2016,4,422,16919.85,40.09443127962085,23,8
2016,5,431,19440.32,45.10515081206496,22,9
2016,6,440,19841.85,45.095113636363635,23,10
2016,7,477,20697.82,43.39165618448637,19,6
2016,8,492,22217.29,45.15709349593496,22,13
2016,9,416,18432.26,44.308317307692306,22,5
2016,10,426,19836.47,46.56448356807512,12,7
2016,11,436,19260.82,44.176192660550456,21,4
2016,12,421,17337.24,41.18109263657958,18,4
2017,1,436,16399.09,37.61259174311927,21,10
2017,2,404,16343.78,40.45490099009901,25,5
2017,3,424,17470.579999999998,41.20419811320754,18,9
2017,4,381,16897.65,44.350787401574806,19,5
2017,5,439,18427.22,41.97544419134397,28,5
2017,6,445,16503.05,37.085505617977525,27,4
2017,7,414,16580.84,40.05033816425121,25,5
2017,8,471,20443.25,43.403927813163484,20,11
2017,9,407,11756.84,28.886584766584768,33,10
2017,10,453,21340.78,47.10988962472406,19,8
2017,11,446,18853.84,42.27318385650224,30,4
2017,12,462,21364.84,46.24424242424242,22,5
2018,1,455,21200.14,46.593714285714285,18,7
2018,2,422,17441.170000000002,41.32978672985782,18,8
2018,3,443,17897.58,40.40085778781039,29,9
2018,4,409,20666.77,50.53,15,4
2018,5,443,17891.04,40.386094808126416,19,8
2018,6,442,17225.48,38.9716742081448,17,8
2018,7,427,18221.35,42.67295081967213,26,7
2018,8,467,18900.01,40.471113490364026,31,4
2018,9,435,22104.36,50.81462068965517,22,4
